Tumor_Sample_Barcode,n_variants,n_predicted_artifacts,artifact_rate,mean_probability
TCGA-06-A7TK-01A-21D-A391-08,59,2,0.03389830508474576,0.07002763
TCGA-02-2485-01A-01W-0837-08,60,2,0.03333333333333333,0.091412075
TCGA-06-0879-01A-01D-1492-08,60,2,0.03333333333333333,0.103896685
TCGA-06-1087-01A-02W-0611-08,60,2,0.03333333333333333,0.0746594
TCGA-16-0861-01A-01D-1492-08,60,2,0.03333333333333333,0.03608116
TCGA-19-1386-01A-01W-0643-08,60,2,0.03333333333333333,0.1746461
TCGA-06-2564-01A-01D-1494-08,61,2,0.03278688524590164,0.07759217
TCGA-06-0125-01A-01D-1490-08,62,2,0.03225806451612903,0.040464383
TCGA-06-0185-01A-01D-1491-08,62,2,0.03225806451612903,0.07845453
TCGA-06-0216-01B-01D-1492-08,62,2,0.03225806451612903,0.028123021
TCGA-27-1837-01A-01W-0837-08,63,2,0.031746031746031744,0.08135453
TCGA-02-0047-01A-01D-1490-08,64,2,0.03125,0.123391286
TCGA-12-3652-01A-01D-1495-08,64,2,0.03125,0.04193027
TCGA-32-5222-01A-01D-1486-08,66,2,0.030303030303030304,0.06611217
TCGA-19-2620-01A-01D-1495-08,67,2,0.029850746268656716,0.092212744
TCGA-41-3392-01A-01D-1495-08,67,2,0.029850746268656716,0.10082959
TCGA-19-2625-01A-01W-0922-08,68,2,0.029411764705882353,0.13189614
TCGA-27-1835-01A-01D-1494-08,70,2,0.02857142857142857,0.029851865
TCGA-06-0877-01A-01D-1492-08,72,2,0.027777777777777776,0.08110318
TCGA-12-1089-01A-01W-0611-08,72,2,0.027777777777777776,0.1605489
TCGA-14-0789-01A-01W-0424-08,72,2,0.027777777777777776,0.12945181
TCGA-14-2554-01A-01W-0837-08,72,2,0.027777777777777776,0.10481037
TCGA-12-5295-01A-01D-1486-08,73,2,0.0273972602739726,0.073749624
TCGA-32-1979-01A-01D-1696-08,77,2,0.025974025974025976,0.0751842
TCGA-06-A5U1-01A-11D-A33T-08,78,2,0.02564102564102564,0.092576295
TCGA-12-3646-01A-01W-0922-08,78,2,0.02564102564102564,0.06780365
TCGA-32-1970-01A-01W-0837-08,83,2,0.024096385542168676,0.11454385
TCGA-06-0649-01B-01W-0348-08,90,2,0.022222222222222223,0.11841992
TCGA-06-0145-01A-01D-1490-08,91,2,0.02197802197802198,0.064367265
TCGA-12-3649-01A-01W-0922-08,94,2,0.02127659574468085,0.054005314
TCGA-27-1838-01A-01D-1494-08,95,2,0.021052631578947368,0.13072771
TCGA-06-2558-01A-01W-0837-08,99,2,0.020202020202020204,0.07445301
TCGA-06-0881-01A-02D-1492-08,13,1,0.07692307692307693,0.17804933
TCGA-06-0185-01A-01W-0254-08,15,1,0.06666666666666667,0.062453628
TCGA-08-0386-01A-01D-1492-08,15,1,0.06666666666666667,0.25615397
TCGA-28-5218-01A-01D-1486-08,16,1,0.0625,0.21220593
TCGA-06-0151-01A-01D-1491-08,17,1,0.058823529411764705,0.1724522
TCGA-14-1456-01B-01D-1494-08,25,1,0.04,0.106097974
TCGA-81-5911-01A-12D-1845-08,26,1,0.038461538461538464,0.066047266
TCGA-12-3653-01A-01D-1495-08,27,1,0.037037037037037035,0.08109587
TCGA-19-1389-02A-21D-2280-08,27,1,0.037037037037037035,0.18328188
TCGA-12-3653-01A-01W-0922-08,28,1,0.03571428571428571,0.03683867
TCGA-06-2569-01A-01W-0837-08,30,1,0.03333333333333333,0.18682693
TCGA-06-2570-01A-01D-1495-08,31,1,0.03225806451612903,0.06697215
TCGA-06-A5U0-01A-11D-A33T-08,32,1,0.03125,0.062264185
TCGA-06-0171-02A-11D-2280-08,34,1,0.029411764705882353,0.23317297
TCGA-19-2624-01A-01W-0922-08,35,1,0.02857142857142857,0.06331257
TCGA-32-4208-01A-01D-1353-08,35,1,0.02857142857142857,0.08966776
TCGA-06-0882-01A-01D-1492-08,36,1,0.027777777777777776,0.17369097
TCGA-06-6698-01A-11D-1845-08,36,1,0.027777777777777776,0.13643783
TCGA-26-1439-01A-01D-1353-08,36,1,0.027777777777777776,0.08988443
TCGA-27-2524-01A-01D-1494-08,36,1,0.027777777777777776,0.064555354
TCGA-28-5215-01A-01D-1486-08,36,1,0.027777777777777776,0.048333626
TCGA-26-A7UX-01B-11D-A391-08,37,1,0.02702702702702703,0.03965855
TCGA-27-2524-01A-01W-0837-08,37,1,0.02702702702702703,0.062152907
TCGA-41-2573-01A-01D-1495-08,37,1,0.02702702702702703,0.112291686
TCGA-19-2624-01A-01D-1495-08,39,1,0.02564102564102564,0.09759347
TCGA-26-5133-01A-01D-1486-08,39,1,0.02564102564102564,0.083032
TCGA-28-5204-01A-01D-1486-08,39,1,0.02564102564102564,0.02259254
TCGA-06-0219-01A-01D-1491-08,40,1,0.025,0.032334767
TCGA-14-1827-01A-01W-0643-08,41,1,0.024390243902439025,0.10383291
TCGA-06-0168-01A-01D-1491-08,42,1,0.023809523809523808,0.0808388
TCGA-06-0187-01A-01D-1491-08,42,1,0.023809523809523808,0.036823858
TCGA-12-1599-01A-01W-0643-08,43,1,0.023255813953488372,0.07253974
TCGA-26-1799-01A-02W-0643-08,43,1,0.023255813953488372,0.10630549
TCGA-32-4213-01A-01D-1353-08,44,1,0.022727272727272728,0.07046669
TCGA-41-2573-01A-01W-0922-08,44,1,0.022727272727272728,0.064881265
TCGA-06-5415-01A-01D-1486-08,48,1,0.020833333333333332,0.050787497
TCGA-28-5216-01A-01D-1486-08,48,1,0.020833333333333332,0.047786135
TCGA-06-6388-01A-12D-1845-08,49,1,0.02040816326530612,0.028405119
TCGA-76-6657-01A-11D-1845-08,49,1,0.02040816326530612,0.042305928
TCGA-RR-A6KC-01A-31D-A33T-08,49,1,0.02040816326530612,0.05844524
TCGA-06-0648-01A-01W-0323-08,50,1,0.02,0.06876089
TCGA-12-0656-01A-03W-0348-08,50,1,0.02,0.08488038
TCGA-16-0849-01A-01W-0424-08,50,1,0.02,0.08852419
TCGA-26-5136-01B-01D-1486-08,50,1,0.02,0.030550957
TCGA-27-2528-01A-01D-1494-08,50,1,0.02,0.05153246
TCGA-76-6664-01A-11D-1845-08,50,1,0.02,0.048370697
TCGA-06-0128-01A-01D-1490-08,51,1,0.0196078431372549,0.14816175
TCGA-06-0188-01A-01D-1491-08,52,1,0.019230769230769232,0.09507202
TCGA-12-3648-01A-01W-0922-08,52,1,0.019230769230769232,0.028960083
TCGA-12-3650-01A-01D-1495-08,52,1,0.019230769230769232,0.028600164
TCGA-28-1753-01A-01D-1494-08,52,1,0.019230769230769232,0.11491619
TCGA-28-2514-01A-02W-0837-08,52,1,0.019230769230769232,0.053311296
TCGA-12-3650-01A-01W-0922-08,53,1,0.018867924528301886,0.016860077
TCGA-28-2509-01A-01W-0837-08,53,1,0.018867924528301886,0.03719931
TCGA-28-2514-01A-02D-1494-08,53,1,0.018867924528301886,0.046038024
TCGA-76-6661-01B-11D-1845-08,53,1,0.018867924528301886,0.055240177
TCGA-06-0158-01A-01D-1491-08,54,1,0.018518518518518517,0.07265808
TCGA-06-6693-01A-11D-1845-08,54,1,0.018518518518518517,0.027778344
TCGA-14-1037-01A-01W-0643-08,54,1,0.018518518518518517,0.04986918
TCGA-76-6285-01A-11D-1696-08,54,1,0.018518518518518517,0.035148975
TCGA-02-2485-01A-01D-1494-08,55,1,0.01818181818181818,0.07609503
TCGA-12-0688-01A-02D-1492-08,55,1,0.01818181818181818,0.06398854
TCGA-27-1831-01A-01D-1494-08,55,1,0.01818181818181818,0.09485568
TCGA-28-5208-01A-01D-1486-08,55,1,0.01818181818181818,0.018790811
TCGA-28-6450-01A-11D-1696-08,55,1,0.01818181818181818,0.043396186
TCGA-32-2638-01A-01D-1495-08,58,1,0.017241379310344827,0.04469701
TCGA-02-2486-01A-01D-1494-08,59,1,0.01694915254237288,0.066659614
TCGA-12-0670-01B-01W-0424-08,59,1,0.01694915254237288,0.018835783
TCGA-06-0211-01B-01D-1491-08,60,1,0.016666666666666666,0.048501324
TCGA-27-1833-01A-01D-1494-08,60,1,0.016666666666666666,0.101573825
TCGA-06-A6S0-01A-11D-A33T-08,61,1,0.01639344262295082,0.03610096
TCGA-19-1791-01A-01W-0643-08,61,1,0.01639344262295082,0.07315339
TCGA-28-1755-01A-01W-0643-08,61,1,0.01639344262295082,0.0934024
